Level (M or G),Number,Name,Description,Sales Description,Elevation,Allow Multiples,Option Group,Option Room,Option Type,Cost Group
M,4655,And_PL_Opt_RT_7,,,FALSE,FALSE,,,,
M,4652,Not_PL_Opt_RT_6,,,FALSE,FALSE,,,,
M,4658,Or_PL_Opt_RT_8,,,FALSE,FALSE,,,,
M,4560,PL_Opt_Additive_Mapping_From,,,FALSE,FALSE,,,,
M,4561,PL_Opt_Additive_Mapping_To,,,FALSE,TRUE,,,,
M,4654,PL_Opt_And_RT_7,,,FALSE,FALSE,,,,
M,4635,PL_Opt_Bid_Bedroom,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4636,PL_Opt_Child_1,Desc of Child_1,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4637,PL_Opt_Child_2,Desc of Child_2,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4546,PL_Opt_Condition_1,Not add to Job Options 1,,FALSE,FALSE,,,,
M,4547,PL_Opt_Condition_2,Not add to Job Options 1,,FALSE,FALSE,,,,
M,4548,PL_Opt_Condition_3,Not add to Job Options 1,,FALSE,FALSE,,,,
M,4549,PL_Opt_Condition_4,Not add to Job Options 1,,FALSE,FALSE,,,,
M,4638,PL_Opt_Garage,,,FALSE,FALSE,PL_OptGrp_Interior,,,
G,4639,PL_Opt_Global_Test,Desc for Global opt,,FALSE,FALSE,,,,
M,4640,PL_Opt_No_Product1,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4651,PL_Opt_Not_RT_6,,,FALSE,FALSE,,,,
M,4657,PL_Opt_Or_RT_8,,,FALSE,FALSE,,,,
M,4641,PL_Opt_Parent,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4642,PL_Opt_Phase_Bid_Have_Product1,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4643,PL_Opt_Phase_Bid_Supplemental_Product,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4562,PL_Opt_Replacement_Mapping_From,,,FALSE,FALSE,,,,
M,4563,PL_Opt_Replacement_Mapping_To,,,FALSE,FALSE,,,,
M,4564,PL_Opt_Sub_1_Layer,,,FALSE,FALSE,,,,
M,4646,PL_Opt_RT,Desc for RT opt,,FALSE,FALSE,PL_OptGrp_Interior,,,PL_OCG_RT_1
M,4647,PL_Opt_RT_2,This is desc of RT_2 opt,,FALSE,FALSE,PL_OptGrp_Interior,,,PL_OCG_RT_2
M,4644,PL_Opt_RT_3,,,FALSE,FALSE,,,,PL_OCG_RT_3
M,4648,PL_Opt_RT_4,,,FALSE,FALSE,PL_OptGrp_Interior,,,PL_OCG_RT_4
M,4649,PL_Opt_RT_5,Not add to Job Options,,FALSE,FALSE,,,,
M,4653,PL_Opt_RT_6_Not,,,FALSE,FALSE,,,,
M,4656,PL_Opt_RT_7_And,,,FALSE,FALSE,,,,
M,4659,PL_Opt_RT_8_Or,,,FALSE,FALSE,,,,
M,4629,PL_Opt_Sand,,,FALSE,FALSE,Appliance Options,,,
M,4630,PL_Opt_Sand_Tommy_House_2,,,FALSE,FALSE,,,,
M,4631,PL_Opt_SpecSet_To_Option,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4632,PL_Opt_BASE,,,FALSE,FALSE,PL_OptGrp_Interior,,,PL_OCG_RT_Base
M,4800,PL_Opt_BLR_Original_TC_1,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4801,PL_Opt_BLR_Original_TC_2,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4802,PL_Opt_BLR_New_TC_2,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4803,PL_Opt_BLR_Original_TC_3,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4804,PL_Opt_BLR_Original_TC_4,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4805,PL_Opt_BLR_Original_TC_5,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4806,PL_Opt_BLR_New_TC_5,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4807,PL_Opt_BLR_Original_TC_6,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4808,PL_Opt_BLR_New_TC_6,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4809,PL_Opt_BLR_Original_TC_7,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4810,PL_Opt_BLR_Original_TC_8,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4811,PL_Opt_BLR_New_TC_8,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4812,PL_Opt_BLR_Original_TC_9,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4813,PL_Opt_BLR_New_TC_9,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4814,PL_Opt_BLR_Original_TC_10,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4815,PL_Opt_BLR_Original_TC_11,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4816,PL_Opt_BLR_New_1_TC_11,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4817,PL_Opt_BLR_New_2_TC_11,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4818,PL_Opt_BLR_Original_TC_12,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4819,PL_Opt_BLR_New_TC_12,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4820,PL_Opt_BLR_Original_TC_13,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4821,PL_Opt_BLR_Original_TC_14,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4822,PL_Opt_BLR_Original_TC_15,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4823,PL_Opt_BLR_New_1_TC_15,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4824,PL_Opt_BLR_New_2_TC_15,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4825,PL_Opt_BLR_New_3_TC_15,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4826,PL_Opt_BLR_Original_TC_16_All_3,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4827,PL_Opt_BLR_Original_TC_17_BOM_Header,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4949,PL_Opt_BLR_New_1_TC_17,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4828,PL_Opt_BLR_Original_TC_18,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4829,PL_Opt_BLR_New_1_TC_18,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4830,PL_Opt_BLR_New_2_TC_18,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4831,PL_Opt_BLR_New_3_TC_18,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4832,PL_Opt_BLR_Original_TC_19,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4833,PL_Opt_BLR_New_1_TC_19,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4834,PL_Opt_BLR_New_2_TC_19,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4835,PL_Opt_BLR_Original_TC_20,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4836,PL_Opt_BLR_New_1_TC_20,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4837,PL_Opt_BLR_New_2_TC_20,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4838,PL_Opt_BLR_Original_TC_61,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4839,PL_Opt_BLR_New_1_TC_61,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4840,PL_Opt_BLR_New_2_TC_61,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4841,PL_Opt_BLR_New_3_TC_61,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4842,PL_Opt_BLR_Original_TC_62,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4843,PL_Opt_BLR_Original_TC_63,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4900,PL_Opt_Archive_0_House,,,FALSE,FALSE,,,,
M,4901,PL_Opt_Archive_1_Option,,,FALSE,FALSE,,,,
M,4902,PL_Opt_Archive_2_House,,,TRUE,TRUE,,,,
M,4903,PL_Opt_BLR_Original_TC_21,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4904,PL_Opt_BLR_Original_TC_22,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4905,PL_Opt_BLR_New_1_TC_22,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4906,PL_Opt_BLR_New_BPBA_TC_22,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4907,PL_Opt_BLR_Original_TC_23,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4908,PL_Opt_BLR_New_1_TC_23,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4909,PL_Opt_BLR_New_2_TC_23,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4910,PL_Opt_BLR_New_BPBA_TC_23,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4911,PL_Opt_BLR_Original_TC_24,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4912,PL_Opt_BLR_Original_TC_25,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4913,PL_Opt_BLR_New_1_TC_25,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4914,PL_Opt_BLR_New_BPBA_TC_25,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4915,PL_Opt_BLR_Original_TC_26,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4916,PL_Opt_BLR_New_1_TC_26,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4917,PL_Opt_BLR_New_2_TC_26,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4918,PL_Opt_BLR_New_3_TC_26,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4919,PL_Opt_BLR_Original_TC_27,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4920,PL_Opt_BLR_Original_TC_28,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4921,PL_Opt_BLR_New_1_TC_28,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4922,PL_Opt_BLR_New_BPBA_TC_28,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4923,PL_Opt_BLR_Original_TC_29,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4924,PL_Opt_BLR_New_1_TC_29,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4925,PL_Opt_BLR_New_2_TC_29,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4926,PL_Opt_BLR_New_3_TC_29,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4927,PL_Opt_BLR_New_BPBA_TC_29,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4928,PL_Opt_BLR_Original_TC_30,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4929,PL_Opt_BLR_Original_TC_31,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4930,PL_Opt_BLR_New_1_TC_31,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4931,PL_Opt_BLR_Original_TC_32,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4932,PL_Opt_BLR_Original_TC_33,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4933,PL_Opt_BLR_Original_TC_34,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4934,PL_Opt_BLR_Original_TC_35,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4935,PL_Opt_BLR_Original_TC_36,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4936,PL_Opt_BLR_Original_TC_37,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4937,PL_Opt_BLR_New_1_TC_37,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4938,PL_Opt_BLR_New_2_TC_37,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4939,PL_Opt_BLR_Original_TC_38,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4940,PL_Opt_BLR_New_1_TC_38,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4941,PL_Opt_BLR_Original_TC_39,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4942,PL_Opt_BLR_Original_TC_40,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4943,PL_Opt_BLR_New_1_TC_40,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4944,PL_Opt_BLR_Original_TC_41,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4945,PL_Opt_BLR_New_1_TC_41,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4946,PL_Opt_BLR_New_2_TC_41,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4947,PL_Opt_BLR_New_3_TC_41,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4948,PL_Opt_BLR_New_4_TC_41,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4950,PL_Opt_BLR_Original_TC_42,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4951,PL_Opt_BLR_New_1_TC_42,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4952,PL_Opt_BLR_New_2_TC_42,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4953,PL_Opt_BLR_Original_TC_43,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4954,PL_Opt_BLR_Original_TC_45_w_Custom_Opt,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4955,PL_Opt_BLR_Original_TC_58_BOM_Header,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4956,PL_Opt_BLR_Original_TC_59_BOM_Header,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4957,PL_Opt_BLR_New_1_TC_59_BOM_Header,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4958,PL_Opt_BLR_Original_TC_60,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4959,PL_Opt_BLR_Original_TC_44,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4960,PL_Opt_BLR_Original_TC_57,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4961,PL_Opt_BLR_Original_TC_81,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4962,PL_Opt_BLR_Original_TC_82,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4963,PL_Opt_BLR_New_1_TC_82,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4964,PL_Opt_BLR_Original_TC_83,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4965,PL_Opt_BLR_Original_TC_84,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4966,PL_Opt_BLR_New_1_TC_84,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4967,PL_Opt_BLR_Original_TC_85,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4968,PL_Opt_BLR_Original_TC_86,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4969,PL_Opt_BLR_New_1_TC_86,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4970,PL_Opt_BLR_Original_TC_87,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4971,PL_Opt_BLR_New_1_TC_87,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4972,PL_Opt_BLR_New_2_TC_87,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4973,PL_Opt_BLR_Original_TC_88,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4974,PL_Opt_BLR_New_1_TC_88,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4975,PL_Opt_BLR_Original_TC_89,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4976,PL_Opt_BLR_Original_TC_90,,,FALSE,FALSE,PL_OptGrp_Interior,,,
M,4977,PL_Opt_BLR_New_1_TC_90,,,FALSE,FALSE,PL_OptGrp_Interior,,,
